序号,地址1,地址2,室,厅,面积,朝向,装修,楼层,年份,楼种,价格
114,大众汽车公寓,五里桥,3,2,129.35,南,精装,7,1996,塔楼,1068
115,罗山八村,金杨,2,1,74.5,南,精装,5,1996,板楼,425
116,潍坊三村,潍坊,1,1,30.56,南,毛坯,4,1994,板楼,230
117,管弄五六街坊,光新,1,1,40.11,南,精装,3,1986,板楼,222
118,鑫龙佳苑,川沙,2,2,94.47,南,简装,5,1996,板楼,288
119,康健公寓,康健,3,1,107.31,南,精装,5,1995,塔楼,618
120,上浦小区,川沙,3,1,89,南,简装,5,1994,板楼,295
121,闸园新村,西渡,3,1,80.42,南,简装,3,1994,板楼,175
122,水闸小区,西渡,2,1,65.5,南,毛坯,2,1995,板楼,160
123,新南家园,西渡,2,2,92.63,南,简装,5,2006,板楼,238
124,绿地金卫新家园（西区）,金山,2,2,92,南,简装,2,2007,板楼,134
125,保利林语溪(公寓),三林,3,2,89.22,南北,精装,2,2011,板楼,600
126,康沁苑,康健,3,2,139.43,南北,简装,5,2000,板楼,1245
127,潍坊八村,潍坊,2,1,50.37,南,精装,5,1985,板楼,339
128,慧芝湖花园,大宁,3,2,124.39,南北,精装,7,2007,板楼,1230
129,古美公寓,古美,2,2,106.18,东,精装,14,2000,塔楼,629
130,三林新村(永泰路468弄),三林,2,2,83.82,南,简装,14,2009,板楼,432
131,上大阳光乾心园,大场镇,2,2,85.27,南,简装,5,2000,板楼,408
132,大华锦绣华城(一街区),北蔡,1,1,56.79,南北,精装,9,2008,板楼,415
133,荡湾新村,惠南,2,1,52.44,南,简装,4,1986,板楼,129.9
134,上浦小区,川沙,3,1,91.7,南,简装,5,1993,板楼,296
135,园西小区,川沙,2,1,59.09,南,简装,4,1988,板楼,238
136,万科城市花园,七宝,3,2,94.67,南,简装,2,1994,板楼,500
137,绿地朱家角1号,朱家角,4,2,142,南,精装,2,2017,板楼,500
138,同济新村,鞍山,2,1,78.49,南,精装,1,1954,板楼,675
